Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Canada,CAN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.117890672,1.987623221,2.053091392,2.167813111,1.880311458,1.701018459,1.587160732,1.768273548,1.549893275,1.493236081,1.765664466,1.811345744,1.894231512,1.586548077,1.869835946,1.862225893,1.889994632,..,..,..
Canada,CAN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.65530014,8.88823891,9.04279232,9.09723568,9.06438637,9.34515572,9.43898201,9.59853268,10.70911217,10.6837883,10.33907032,10.42859364,10.34045982,10.25013065,10.68328094,10.97903442,10.78964806,10.79046917,..,..
Canada,CAN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,215.932057,209.433234,212.4197316,209.1599126,200.3011019,190.04363,178.9858849,178.7260502,177.1927323,173.6133795,172.6561828,167.6565386,165.8016307,166.0447918,160.5849708,..,..,..,..,..
Canada,CAN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,18.71100491,17.96308413,18.03733357,17.26591721,17.82398793,17.02769125,16.96278032,17.08335345,18.85417104,19.08470714,17.850268,17.51751993,17.08488216,16.40204983,17.05977868,17.49860407,17.60659541,17.56792855,18.11008901,..
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.03995509,40.05865859,36.8659852,37.32777131,36.85670732,35.40245922,34.22955516,34.39500555,28.51583432,29.16738193,30.67839192,30.35302552,30.33193867,31.73657587,31.84996096,31.50257241,31.45441015,32.34534558,31.91656944,28.95585071
Canada,CAN,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,74.60348526,75.79030349,75.57179085,74.13582447,73.38195084,73.66779057,73.97867728,74.18076812,79.53751398,78.47382365,77.04861665,77.07816036,76.66519998,76.06287442,78.68679419,79.53235025,78.67956374,78.66610672,78.60053525,80.01442239
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.841921293,3.219147678,0.782967555,0.141465896,2.178163809,4.87410129,8.200559049,4.515137142,1.524131181,1.837256387,2.137833108,2.700169009,3.629803984,3.55390337,3.853894537,2.238350121,1.53752072,2.506586797,2.588902574,..
Canada,CAN,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,4.984136699,3.843512818,2.616225271,4.365776022,2.325412695,3.816692472,4.434938198,5.710829205,2.745409301,2.246981822,2.793396523,3.404593801,2.949458833,3.598493803,5.391157447,4.42448955,4.740763695,3.606189837,4.373780939,3.056178718
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,7.38982E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72185E+12,1.74158E+12,1.64404E+12
